dataset,x,y
h_lines,32.37893863,90.14414263
h_lines,32.53070274,70.15739651
h_lines,33.36526443,70.45933544
h_lines,32.65609918,70.0510705
h_lines,22.95509327,70.42689515
h_lines,27.14984363,70.21080584
h_lines,26.16690928,70.50031512
h_lines,26.33145708,50.49455653
h_lines,22.00370914,50.49944012
h_lines,23.28474798,50.47435283
h_lines,27.63403839,50.50366686
h_lines,32.037108,50.50006612
h_lines,29.33651065,50.46189397
h_lines,40.81695313,50.4877602
h_lines,42.73907512,50.48315599
h_lines,51.86789377,50.49327326
h_lines,43.37100189,50.50083732
h_lines,53.0427983,50.48750387
h_lines,56.6189103,50.50337402
h_lines,70.56828982,50.49623612
h_lines,67.87088729,70.06802613
h_lines,58.82154659,70.45578175
h_lines,60.18692784,70.48355125
h_lines,59.43551748,50.42063261
h_lines,49.58584348,50.43498138
h_lines,41.77974178,50.47064228
h_lines,46.12768634,30.44941078
h_lines,38.03378377,50.49089952
h_lines,44.54684128,50.41591338
h_lines,46.2381176,30.49561294
h_lines,49.73974533,30.47272489
h_lines,39.11025189,30.47869518
h_lines,39.14283779,30.79285594
h_lines,34.62547027,30.49974103
h_lines,34.75420747,30.495865
h_lines,36.75370024,50.5293043
h_lines,37.01935129,50.4926667
h_lines,41.41711528,50.46977342
h_lines,22.81710748,30.43604034
h_lines,34.80070146,30.49793139
h_lines,27.8918898,30.48497026
h_lines,32.87063916,30.50234175
h_lines,37.79404941,30.49263834
h_lines,35.6673163,30.52203505
h_lines,48.4422995,30.50172278
h_lines,58.66937326,30.50683789
h_lines,47.91695544,30.48672575
h_lines,51.89416639,30.49475568
h_lines,51.74908916,30.47299334
h_lines,58.246553,50.44287449
h_lines,57.31069687,50.48251329
h_lines,67.96804811,50.45215891
h_lines,65.94931927,50.49424079
h_lines,55.74709281,50.4789748
h_lines,68.40301004,50.49862723
h_lines,76.69646563,50.49383056
h_lines,67.21483712,70.26002844
h_lines,72.30200573,70.22043738
h_lines,66.76325739,70.47386171
h_lines,51.68030044,89.99702755
h_lines,53.09655736,89.54024371
h_lines,42.24229294,89.70857859
h_lines,56.23387566,89.63530816
h_lines,54.68098658,89.96459946
h_lines,57.90268661,89.61840173
h_lines,51.82026255,89.8341304
h_lines,56.82839534,89.58366473
h_lines,58.27227859,69.90027296
h_lines,51.82812745,70.35264921
h_lines,44.84998426,70.39520297
h_lines,24.27038239,50.48556769
h_lines,34.74247144,70.33993489
h_lines,37.79931493,70.46953588
h_lines,49.78694106,89.65804699
h_lines,59.75149741,89.73193252
h_lines,64.77479924,90.13231674
h_lines,70.8444476,89.92420902
h_lines,70.60594551,90.04206196
h_lines,78.64248839,89.55120323
h_lines,70.81069225,89.59265401
h_lines,66.76994662,70.42337521
h_lines,73.33636816,70.31692717
h_lines,73.10514816,70.30051188
h_lines,74.67825414,70.44531419
h_lines,80.24025095,70.35430896
h_lines,70.94684907,50.47270179
h_lines,88.66266381,50.45532602
h_lines,84.40595283,50.49486589
h_lines,75.98710471,50.49196696
h_lines,91.11208542,50.48938939
h_lines,98.28812327,30.60391937
h_lines,95.06527484,30.50040287
h_lines,95.24923396,30.45945421
h_lines,49.65612629,50.43131987
h_lines,63.01860093,30.49258193
h_lines,70.5382006,30.48355825
h_lines,70.08686977,30.51004482
h_lines,62.68569044,30.54642456
h_lines,69.23941796,30.50600524
h_lines,80.40023368,30.48500637
h_lines,74.64787823,30.67386286
h_lines,65.99527272,30.47502419
h_lines,67.088559,30.49452395
h_lines,59.85257703,10.54318778
h_lines,53.74899007,10.52257453
h_lines,58.23909552,10.49489903
h_lines,54.8103005,10.72492928
h_lines,52.97671232,10.85949028
h_lines,52.20389393,10.49563692
h_lines,50.74516224,10.52490557
h_lines,42.71319362,10.48754724
h_lines,45.31722551,10.49587339
h_lines,53.11691504,10.5068606
h_lines,57.04980182,10.50813694
h_lines,54.85463095,10.46391519
h_lines,54.92484256,10.49833194
h_lines,63.30955403,10.48881424
h_lines,49.74949841,10.48580291
h_lines,41.16931042,10.49730024
h_lines,46.6883405,10.50753214
h_lines,52.41892192,10.49590636
h_lines,50.87848838,10.50308987
h_lines,57.05330614,10.51406924
h_lines,70.78645116,10.51369504
h_lines,56.77214957,10.50327235
h_lines,75.47722202,10.51856804
h_lines,76.76591215,10.49699906
h_lines,77.62104913,10.49587423
h_lines,65.41448705,10.68184013
h_lines,69.9647805,10.50723293
h_lines,64.96973826,10.48215951
h_lines,38.05024078,30.40794603
h_lines,42.22412022,30.49803716
h_lines,87.69846429,50.48993653
h_lines,52.36033107,89.70431701
h_lines,51.40678679,89.71213855
h_lines,43.58846847,89.74553655
x_shape,38.33775718,92.47271905
x_shape,35.75187079,94.11676803
x_shape,32.76721796,88.51829458
x_shape,33.72960678,88.62226579
x_shape,37.23824933,83.72492841
x_shape,36.02719822,82.04078065
x_shape,39.23928078,79.26372384
x_shape,39.78452494,82.2605659
x_shape,35.16602939,84.15649198
x_shape,40.62211592,78.54210421
x_shape,39.18190709,79.8190372
x_shape,42.43088899,75.13363464
x_shape,43.08125586,75.34670164
x_shape,44.36071943,70.47420705
x_shape,44.32477884,71.0459044
x_shape,47.5521602,66.46040372
x_shape,48.66492462,64.96100494
x_shape,46.28063196,68.02842315
x_shape,50.56324448,62.62382797
x_shape,52.63096423,59.96393579
x_shape,54.63620644,57.49384244
x_shape,51.34602714,61.60055304
x_shape,57.13485535,53.8779658
x_shape,54.17124157,58.0598079
x_shape,50.94238231,62.09739394
x_shape,66.51292446,59.07128185
x_shape,64.3979095,56.1748754
x_shape,68.68659329,62.23734399
x_shape,65.02779371,57.09625735
x_shape,53.30450317,40.88384455
x_shape,52.94517809,40.38462569
x_shape,45.2257382,30.55522592
x_shape,50.84330462,37.7446281
x_shape,49.65929394,36.27344274
x_shape,47.14278893,32.02506417
x_shape,41.27005653,21.72181715
x_shape,47.13012716,31.30990292
x_shape,40.91597158,23.54159239
x_shape,38.66016397,21.68954964
x_shape,42.61255083,24.19505377
x_shape,41.2090395,24.12870919
x_shape,50.64922115,37.48379074
x_shape,52.13190194,39.36460208
x_shape,39.79727127,16.08354965
x_shape,43.54988148,24.30721094
x_shape,36.71466334,17.38180986
x_shape,37.22461013,17.98006448
x_shape,40.51244785,22.96221457
x_shape,40.22206279,20.6146217
x_shape,44.12496121,23.36624529
x_shape,42.3462616,24.55832694
x_shape,44.18908437,28.77262547
x_shape,45.81424531,31.05697967
x_shape,46.64311927,31.40721906
x_shape,52.1898883,39.36779649
x_shape,51.10031736,38.09569998
x_shape,65.40083415,42.61403204
x_shape,64.85203983,43.13373484
x_shape,63.40380601,44.84749369
x_shape,65.37154887,42.69597132
x_shape,61.9080397,53.19035207
x_shape,71.826653,65.68623036
x_shape,72.65462316,66.87827761
x_shape,76.88857816,72.16547208
x_shape,43.74461968,71.26796108
x_shape,39.05424844,83.1190207
x_shape,39.93167463,79.939188
x_shape,39.76282611,76.40596745
x_shape,41.32338329,80.2118686
x_shape,41.78732323,83.98807799
x_shape,39.75564907,79.65709664
x_shape,40.7498794,77.20465729
x_shape,43.8568985,77.60984365
x_shape,42.3678225,73.63827183
x_shape,39.46295984,78.4599739
x_shape,44.51733395,70.36934983
x_shape,41.636093,76.24922292
x_shape,45.42293218,69.09550167
x_shape,42.00285627,97.83761472
x_shape,76.10562903,95.30498058
x_shape,79.20256268,92.40721563
x_shape,84.84824409,95.42480453
x_shape,81.56447532,83.79290723
x_shape,85.4461864,83.07829384
x_shape,80.31249138,76.51623895
x_shape,80.7662323,79.89606568
x_shape,82.67011248,81.71147985
x_shape,77.16362548,73.52371896
x_shape,74.07070003,68.47956429
x_shape,74.11423087,71.92636352
x_shape,68.94207546,62.63515058
x_shape,73.24200233,67.35327113
x_shape,71.86701316,34.32915759
x_shape,71.56918885,34.69921861
x_shape,71.48290969,34.68051699
x_shape,78.12852205,23.13923184
x_shape,78.78982525,25.59719335
x_shape,77.7815468,23.44721447
x_shape,48.53062937,34.15245001
x_shape,65.53078147,42.2810847
x_shape,70.11803414,36.44818479
x_shape,70.47226261,36.08805306
x_shape,76.79113007,28.07200817
x_shape,72.40935459,33.03925697
x_shape,76.27129982,25.56954415
x_shape,76.95325914,27.77061074
x_shape,75.10773009,30.01698342
x_shape,75.9692852,29.03886538
x_shape,75.28388701,24.87475317
x_shape,77.05224064,27.90563909
x_shape,42.82675634,25.55695941
x_shape,42.08066069,24.94652645
x_shape,39.87830465,18.32492922
x_shape,36.47549917,17.71894779
x_shape,37.10307364,15.44561165
x_shape,34.14896821,13.52386987
x_shape,37.57942191,15.01589013
x_shape,41.06430579,12.21446893
x_shape,42.19526615,20.91937219
x_shape,36.60557824,15.74887589
x_shape,39.43116121,19.32384075
x_shape,37.56207634,11.9284457
x_shape,34.23811004,13.71315823
x_shape,34.14094104,4.57766135
x_shape,36.6592677,17.68196446
x_shape,40.64371928,20.24086137
x_shape,36.79248159,13.39213473
x_shape,75.94830064,22.74479591
x_shape,76.84069247,20.91854722
x_shape,81.95047764,19.87455821
x_shape,81.64370569,16.59175998
x_shape,84.61021978,14.2477619
x_shape,84.10287943,8.98065579
x_shape,80.18002545,19.08884413
x_shape,80.57327299,8.365638902
x_shape,79.00432686,10.62819777
x_shape,40.04818647,24.26148793
x_shape,34.79459354,13.96968346
x_shape,79.22176444,22.09459148
x_shape,36.03087977,93.12173324
x_shape,34.49955831,86.60998505
x_shape,31.10686656,89.46163524
bullseye,51.20389114,83.33977661
bullseye,58.9744699,85.49981761
bullseye,51.87207267,85.82973763
bullseye,48.17993079,85.04511674
bullseye,41.6832004,84.0179406
bullseye,37.8904155,82.567493
bullseye,39.54897369,80.81260177
bullseye,39.64957388,82.66453387
bullseye,34.75059705,80.01109099
bullseye,27.56083529,72.84782559
bullseye,24.63553998,71.61071483
bullseye,20.95946481,66.04149838
bullseye,20.68914905,62.72130521
bullseye,19.28820474,62.06305936
bullseye,20.02450057,61.34262387
bullseye,35.469523,43.11588495
bullseye,36.89432765,47.70655597
bullseye,39.05554978,55.54697371
bullseye,46.95708015,65.24040739
bullseye,37.31045274,45.2587509
bullseye,40.009672,60.98658251
bullseye,48.01438668,65.71281959
bullseye,53.70377593,66.38948204
bullseye,63.06749989,64.03500046
bullseye,62.04803251,63.84586325
bullseye,59.83996671,64.47676444
bullseye,55.16094182,65.23730817
bullseye,61.27978658,65.7664025
bullseye,60.83491753,64.60376971
bullseye,61.52059065,64.79185504
bullseye,36.91654386,41.09524744
bullseye,38.50219967,41.56715562
bullseye,48.66437073,30.68066685
bullseye,50.2852524,30.33792211
bullseye,42.27633267,34.52763612
bullseye,54.03177562,29.67234831
bullseye,37.32935526,39.60204231
bullseye,41.38952255,37.29605623
bullseye,40.07466666,34.6236852
bullseye,35.34968062,47.14107313
bullseye,34.76370042,47.62479992
bullseye,37.02662945,44.46229305
bullseye,36.45556953,40.79184303
bullseye,35.53766421,48.72938687
bullseye,20.40894789,32.20303042
bullseye,23.49571047,25.32246815
bullseye,29.55754336,21.36477746
bullseye,33.00823391,15.98507146
bullseye,53.98039918,29.35098671
bullseye,52.2343086,29.71167299
bullseye,59.50307661,30.66967394
bullseye,41.16378107,34.31575825
bullseye,48.99304012,32.03035884
bullseye,59.26928032,29.64070177
bullseye,45.469177,33.83119273
bullseye,62.69126654,30.29037383
bullseye,73.42867087,48.57785513
bullseye,70.84642611,52.28225333
bullseye,71.53901985,45.52180616
bullseye,67.62086589,38.00655847
bullseye,72.47095256,51.12213482
bullseye,64.81223756,62.81091559
bullseye,60.85367987,65.49914703
bullseye,67.78949616,61.36370155
bullseye,41.60955727,83.84868656
bullseye,53.00302532,84.6747986
bullseye,54.71417106,84.04312807
bullseye,44.29166872,82.90944121
bullseye,49.19172196,85.87622912
bullseye,53.10138178,84.54765869
bullseye,51.59984815,84.81982149
bullseye,54.37972195,84.24035555
bullseye,46.4807681,83.51821167
bullseye,53.17465627,84.26056799
bullseye,45.27200294,85.23707942
bullseye,36.03340215,53.37168776
bullseye,28.27119417,72.84023126
bullseye,25.05480608,71.54859792
bullseye,64.758887,82.31522364
bullseye,63.14452748,85.23669633
bullseye,50.42467869,85.17474759
bullseye,70.64499626,82.43091876
bullseye,63.14904908,83.94685535
bullseye,62.82402452,84.96618595
bullseye,70.23686952,82.17115106
bullseye,70.04273524,80.38502135
bullseye,72.57062345,80.97121843
bullseye,75.13071604,79.98409314
bullseye,83.29390573,70.77843179
bullseye,79.66426228,73.93230972
bullseye,88.43210253,64.624247
bullseye,89.11555901,64.00150664
bullseye,89.09219763,57.76819305
bullseye,91.72600577,52.62335326
bullseye,91.73553876,48.97021089
bullseye,91.50788817,53.31265209
bullseye,88.2390019,31.47743488
bullseye,88.5305192,30.47603101
bullseye,55.36516034,30.44585028
bullseye,62.56025887,30.44713567
bullseye,58.00666912,30.2537213
bullseye,55.06711799,29.0115352
bullseye,61.61477596,29.99439119
bullseye,68.54314354,35.65783217
bullseye,77.70610965,20.30426019
bullseye,68.453046,13.03552859
bullseye,68.25720644,12.38463915
bullseye,70.25547467,13.25038497
bullseye,65.04432528,11.00084148
bullseye,60.09224661,11.87211171
bullseye,52.99202897,9.906668483
bullseye,50.14462898,12.21154309
bullseye,46.50861419,11.20713449
bullseye,43.80703196,11.31894489
bullseye,57.81785469,10.94514243
bullseye,50.94049266,9.691547134
bullseye,63.49732308,11.91406917
bullseye,50.01648295,11.93385209
bullseye,58.63676508,11.97472107
bullseye,54.73028909,11.41288267
bullseye,65.8755478,11.73243636
bullseye,57.06098271,9.920560854
bullseye,46.81990795,10.49465268
bullseye,38.35939487,13.43132262
bullseye,47.31541578,12.85345178
bullseye,55.05191654,11.94998862
bullseye,50.51596026,9.765591622
bullseye,49.67741465,10.38313251
bullseye,67.28065952,14.12865153
bullseye,66.17301826,12.03791702
bullseye,61.08854414,10.08453441
bullseye,66.05308577,13.38022601
bullseye,72.66998927,15.23422594
bullseye,61.5034725,10.82841448
bullseye,68.99502863,13.99431053
bullseye,78.24991617,17.88324091
bullseye,36.48198057,15.16276009
bullseye,50.96774838,29.67977429
bullseye,91.19105361,46.67434284
bullseye,55.86376849,85.33648676
bullseye,49.2805948,84.04882283
bullseye,43.36850154,84.3321772
